movie_id,title,year,genres,imdb_rating
tt10011508,Trixie Mattel: Moving Parts,2019,Documentary,7.3
tt10011682,Assholes: A Theory,2019,Documentary,6.4
tt10011772,Balloons Over Babylon,2019,Documentary,6.4
tt10012964,Iris: A Space Opera by Justice,2019,Music,7.9
tt10013072,Out and About Movie 2: Las Vegas Adventure,2019,"Comedy,Documentary",6.5
tt10013634,Cinderella,2018,Musical,7.3
tt10014100,RC Propbusters: Untold,2019,Documentary,7.8
tt10014682,Tenir tête,2019,Documentary,8.0
tt10014838,The Forgotten,2019,"Drama,Romance,War",6.0
tt10015286,The Ringmaster,2019,Documentary,6.5
tt10015418,Five Million Dollar Life,2019,Mystery,6.7
tt10015432,Forest of the Dead Sharks,2019,"Action,Comedy,Horror",6.7
tt10015802,The Big 3,2020,"Comedy,Documentary",8.2
tt10015812,Death Whisper,2019,"Drama,Horror,Mystery",5.9
tt10016532,Ispade Rajavum Idhaya Raniyum,2019,"Drama,Romance",6.4
tt10016640,Knots: A Forced Marriage Story,2020,Documentary,7.4
tt10017680,P Storm,2019,"Action,Crime",5.9
tt10019108,Villa Caprice,2020,"Crime,Drama",5.8
tt10019402,Finals,2019,"Drama,Sport",7.0
tt10020682,Chicago I'm Home,2019,Comedy,7.4
tt10021582,A Deadly Legend,2020,Horror,2.6
tt10021622,16 Bars,2018,Documentary,7.1
tt10021804,Don't Work (1968 - 2018),2018,Documentary,6.1
tt10022158,Worlds of Ursula K. Le Guin,2018,Documentary,7.4
